dim_s,N,num_mc,method,avg_total_time_sec,p10_total_time_sec,p90_total_time_sec,std_total_time_sec,avg_fit_time_sec,p10_fit_time_sec,p90_fit_time_sec,avg_sampling_decision_time_sec,p10_sampling_decision_time_sec,p90_sampling_decision_time_sec,n_success
1,400,100.0,nonNF-GMM,0.45355999233201144,0.3864515570923686,0.6404260631650687,0.10731839757272081,0.025217950753867627,0.022084754519164564,0.0291056290268898,0.4283420415781438,0.3626667186617851,0.6126733405515552,100
1,400,,LDR,0.007484095860272646,0.007314928062260151,0.007672232575714588,0.00019131499884627548,0.007484095860272646,0.007314928062260151,0.007672232575714588,,,,100
1,400,,NN-DR,0.9533276111632586,0.5683448661118746,1.3936323953792453,0.2987080285925469,0.9533276111632586,0.5683448661118746,1.3936323953792453,,,,100
1,400,,RNW,0.928584967982024,0.8030600756406784,0.9819923875853419,0.07273794450232697,0.928584967982024,0.8030600756406784,0.9819923875853419,,,,100
1,400,,ResDRO,1.4873642558418214,1.4175541706383228,1.5192434880882502,0.05627396297440935,1.4873642558418214,1.4175541706383228,1.5192434880882502,,,,100
5,50,100.0,NF-GMM,0.7222128707170486,0.6854530137032271,0.8037998108193279,0.06681536166312914,0.18753373570740223,0.15376287139952183,0.2779851902276278,0.5346791350096464,0.5293458202853799,0.5594560438767076,100
5,50,100.0,nonNF-GMM,0.5325457733124495,0.39053448773920535,0.5714208418503404,0.06387468417724694,0.017769308146089315,0.013974624499678612,0.021485512517392637,0.5147764651663601,0.37110977061092854,0.5535322420299054,100
5,50,,LDR,0.00479889104142785,0.004669027030467987,0.004905627854168416,0.00022412696655726985,0.00479889104142785,0.004669027030467987,0.004905627854168416,,,,100
5,50,,NN-DR,0.3581121384911239,0.33636253103613856,0.40487516541033985,0.029392984169474164,0.3581121384911239,0.33636253103613856,0.40487516541033985,,,,100
5,50,,RNW,0.09872290791943669,0.07578442022204399,0.221499845944345,0.05312001068183509,0.09872290791943669,0.07578442022204399,0.221499845944345,,,,100
5,50,,ResDRO,0.16997580286115407,0.1062110286206007,0.2672436939552426,0.07734040627365565,0.16997580286115407,0.1062110286206007,0.2672436939552426,,,,100
5,100,100.0,NF-GMM,0.8896893592365086,0.7186758164316416,1.1364193700253964,0.15856225851025035,0.3845936990529299,0.25690198633819816,0.6181272199377418,0.5050956601835788,0.373616424575448,0.5540245417505503,100
5,100,100.0,nonNF-GMM,0.5575606437213719,0.5530693365260959,0.573146004602313,0.025152904955657786,0.0203562793135643,0.01650548744946718,0.024667976424098015,0.5372043644078076,0.533917166851461,0.5491273786872626,100
5,100,,LDR,0.005451373048126698,0.005337443947792053,0.0055750576779246335,0.00012196309915337647,0.005451373048126698,0.005337443947792053,0.0055750576779246335,,,,100
5,100,,NN-DR,0.5289642601273954,0.38173376210033894,0.6486432546749711,0.09934832835844667,0.5289642601273954,0.38173376210033894,0.6486432546749711,,,,100
5,100,,RNW,0.28637361811473966,0.15162406712770463,0.3082222733646631,0.051095352693299026,0.28637361811473966,0.15162406712770463,0.3082222733646631,,,,100
5,100,,ResDRO,0.27690883085131646,0.21539756748825312,0.40257933773100374,0.08657281268985834,0.27690883085131646,0.21539756748825312,0.40257933773100374,,,,100
5,200,100.0,NF-GMM,1.1520414190553128,0.9314500920474529,1.3835903996601702,0.19176489647186468,0.6597565925680101,0.4170766854658723,0.8601071802899242,0.49228482648730276,0.36919071190059183,0.5769772885367275,100
5,200,100.0,nonNF-GMM,0.581153383217752,0.5737261766567826,0.610348106175661,0.05048032851009094,0.02390469789505005,0.01866511031985283,0.028827972151339056,0.5572486853227019,0.5510242963209748,0.5871995553374291,100
5,200,,LDR,0.006866050958633423,0.006665928661823273,0.007089117914438248,0.00023913677624883483,0.006866050958633423,0.006665928661823273,0.007089117914438248,,,,100
5,200,,NN-DR,0.598868054728955,0.39799969773739574,0.8197849178686738,0.1792498714158105,0.598868054728955,0.39799969773739574,0.8197849178686738,,,,100
5,200,,RNW,0.41067026833072307,0.29992243368178606,0.47106433361768724,0.07768730091241159,0.41067026833072307,0.29992243368178606,0.47106433361768724,,,,100
5,200,,ResDRO,0.7342867828346789,0.6419300517067313,0.8730593765154481,0.10565994861319196,0.7342867828346789,0.6419300517067313,0.8730593765154481,,,,100
5,400,100.0,NF-GMM,1.8299509239196778,1.4469619730487466,2.2385323107242585,0.34801840434336967,1.2845520079880952,0.9584241440519691,1.6623058035969742,0.5453989159315824,0.3692409796640277,0.6335456473752856,100
5,400,100.0,nonNF-GMM,0.600915739480406,0.40225097481161354,0.6662492329254747,0.10311034120192371,0.03413458157330752,0.02982083298265934,0.03917602561414242,0.5667811579070985,0.3663974577561021,0.6301760828122497,100
5,400,,LDR,0.009566389694809914,0.009297059662640095,0.009876609593629838,0.0003114299243548107,0.009566389694809914,0.009297059662640095,0.009876609593629838,,,,100
5,400,,NN-DR,0.8217274661175906,0.46766041554510596,1.398775213584304,0.339755516229155,0.8217274661175906,0.46766041554510596,1.398775213584304,,,,100
5,400,,RNW,0.8500636986456811,0.7998479433357716,0.9902426056563854,0.0747628197204598,0.8500636986456811,0.7998479433357716,0.9902426056563854,,,,100
5,400,,ResDRO,1.5218886455707252,1.4355781123042106,1.7859470449388029,0.1224819970105911,1.5218886455707252,1.4355781123042106,1.7859470449388029,,,,100
20,50,100.0,NF-GMM,0.7014366023615003,0.685787721350789,0.7305603263899684,0.04709707326971104,0.1669504445977509,0.15305768325924873,0.18026542831212286,0.5344861577637494,0.5317035796120763,0.5566868230700492,100
20,50,100.0,nonNF-GMM,0.5343843605555594,0.3888485789299011,0.5731310103088617,0.06678386973787794,0.018773032128810884,0.01587776392698288,0.022193304263055328,0.5156113284267485,0.3692387809976935,0.5535121887922287,100
20,50,,LDR,0.005494359340518713,0.005370203033089637,0.005628382414579391,0.00014419458808335133,0.005494359340518713,0.005370203033089637,0.005628382414579391,,,,100
20,50,,NN-DR,0.34760854683816433,0.2982580967247486,0.4052579216659069,0.03843296556955014,0.34760854683816433,0.2982580967247486,0.4052579216659069,,,,100
20,50,,RNW,0.10086854550987483,0.07588489986956119,0.22577366065233948,0.05572292667850826,0.10086854550987483,0.07588489986956119,0.22577366065233948,,,,100
20,50,,ResDRO,0.17192328192293643,0.10642474051564932,0.2709569074213505,0.07908151041262897,0.17192328192293643,0.10642474051564932,0.2709569074213505,,,,100
20,100,100.0,NF-GMM,0.874387834854424,0.7965102849528194,1.0043835429474712,0.1059506013131315,0.3515179911442101,0.25797348823398353,0.45889598764479167,0.5228698437102139,0.3749334715306759,0.5580641880631447,100
20,100,100.0,nonNF-GMM,0.5759604879841208,0.5614139020442963,0.5905909642577172,0.013888236943331852,0.023925510253757238,0.019811677373945714,0.029373643733561043,0.5520349777303636,0.5394487185403705,0.5647352250292897,100
20,100,,LDR,0.006923693399876356,0.006736901961266995,0.007041531428694725,0.0004983175204688154,0.006923693399876356,0.006736901961266995,0.007041531428694725,,,,100
20,100,,NN-DR,0.4821303810738027,0.26617610044777396,0.6520415510982275,0.14799674725238923,0.4821303810738027,0.26617610044777396,0.6520415510982275,,,,100
20,100,,RNW,0.24618268419057132,0.14931637700647116,0.3099920293316245,0.07746692254751504,0.24618268419057132,0.14931637700647116,0.3099920293316245,,,,100
20,100,,ResDRO,0.2931378126330674,0.21670201197266578,0.4095018107444048,0.08943879383055087,0.2931378126330674,0.21670201197266578,0.4095018107444048,,,,100
20,200,100.0,NF-GMM,1.0690412274375558,0.9069060044363141,1.2103579714894295,0.10977973573848512,0.5561831509508193,0.5043604826554656,0.630718812160194,0.5128580764867365,0.3724587863311172,0.5861502198502422,100
20,200,100.0,nonNF-GMM,0.5838916367478668,0.5788579899817705,0.6225210480391979,0.06044480957549966,0.025692882593721152,0.02143841627985239,0.03128243256360293,0.5581987541541458,0.5556147921830416,0.5983169877901673,100
20,200,,LDR,0.00964694170281291,0.009426776319742203,0.009873041138052941,0.00022677229041649375,0.00964694170281291,0.009426776319742203,0.009873041138052941,,,,100
20,200,,NN-DR,0.6186449385993182,0.36239405162632465,0.9332943674176932,0.21968352923486723,0.6186449385993182,0.36239405162632465,0.9332943674176932,,,,100
20,200,,RNW,0.4162643586285412,0.301365315169096,0.47779901288449766,0.07848467356235438,0.4162643586285412,0.301365315169096,0.47779901288449766,,,,100
20,200,,ResDRO,0.7252073781751096,0.6446541730314493,0.8750650696456432,0.10067455841352052,0.7252073781751096,0.6446541730314493,0.8750650696456432,,,,100
20,400,100.0,NF-GMM,1.633841028623283,1.53422444537282,1.7378937352448702,0.09240358253690364,1.0446685511432587,0.9622969480231405,1.1323925169184803,0.5891724774800241,0.5889470530673862,0.6154957329854369,100
20,400,100.0,nonNF-GMM,0.6410380189865827,0.6451567187905312,0.6661383599042893,0.06070239181948134,0.03756703874096275,0.03291220236569643,0.04173768535256386,0.60347098024562,0.6101626642048359,0.6277675624936819,100
20,400,,LDR,0.015341047644615174,0.01481717973947525,0.015739687159657477,0.0004255528749375999,0.015341047644615174,0.01481717973947525,0.015739687159657477,,,,100
20,400,,NN-DR,0.9601544716022908,0.4791560597717762,1.722635405883193,0.47350065528362517,0.9601544716022908,0.4791560597717762,1.722635405883193,,,,100
20,400,,RNW,0.8253162096440793,0.8010445469990373,0.8601717388257385,0.04802526203827762,0.8253162096440793,0.8010445469990373,0.8601717388257385,,,,100
20,400,,ResDRO,1.4698365006037057,1.4403707245364785,1.507491848245263,0.05491569942672432,1.4698365006037057,1.4403707245364785,1.507491848245263,,,,100
