N,Trial,K_NF,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_ResDRO,loss_NF_GMM,loss_nonNF_GMM,loss_ResDRO,loss_RNW,loss_LDR,loss_NN_DR,time_NF_gmm,time_nonNF_gmm,time_ResDRO,time_RNW,time_LDR,time_NN_DR,time_total
50,17,2.0,2.0,10.0,0.9,50.0,156.83106260839224,158.5828475824692,163.08050109251263,208.30279605331256,698.059024976866,164.72126824878762,785.1823123488575,759.5416737962514,65.69727272354066,10.72124777175486,0.043747855350375175,3.3602305501699448,1624.5508975572884
50,18,2.0,2.0,90.0,90.0,90.0,201.70510070280798,201.7051007154187,148.60568914241335,190.48416793388498,106.7641984661491,163.2405928467727,789.1425766423345,749.8700841832906,64.78086845576763,13.435568829998374,0.10504222474992275,5.949071047827601,1623.31204565987
50,19,2.0,2.0,10.0,0.05,90.0,147.68488059367243,136.6073056525004,261.2898311047657,234.66841397118645,190.72630029566406,261.14623935655897,824.0559140723199,783.017960852012,21.59586178138852,15.196723826229572,0.035358404740691185,3.289410188794136,1647.1919221226126
50,20,2.0,2.0,0.01,0.05,10.0,99.9384164079152,98.3574186817723,501.5930622316614,253.69294498249758,712.9230124008672,178.05859611444055,772.374211596325,765.0363180954009,71.51961967721581,12.872670197859406,0.05474235489964485,3.502327563241124,1625.361183848232
50,21,2.0,2.0,0.01,0.01,90.0,66.05245311890026,63.2048031223392,201.10488579855382,207.38978661053505,651.9395614722773,253.89409791180532,759.7496251817793,775.9096306618303,70.50518888607621,14.679355939850211,0.029531139880418777,2.5090670194476843,1623.3845547549427
50,22,2.0,2.0,10.0,10.0,0.9,127.24687717461049,116.85188128488079,445.0866839257791,179.08422012845566,159.46194064550545,165.55620979204284,787.2236104682088,790.1651924736798,38.223818300291896,13.337674412876368,0.08477684296667576,4.52338782325387,1633.5595344733447
50,23,2.0,2.0,1.0,9.0,90.0,204.71441540119505,469.37994231202276,137.1601604751942,213.32984602380336,454.40093610685096,191.44945617621656,774.7102327663451,814.7441745959222,29.60855052061379,13.23781661875546,0.044666556641459465,5.812866169959307,1638.1597818043083
50,24,2.0,2.0,0.01,0.01,0.01,163.02140063912847,115.65928168969218,132.9842476268834,136.35643174151195,128.05059809498522,141.64185385561024,809.7200797963887,763.6443643029779,36.08199527859688,21.814318023622036,0.10144631564617157,5.691135674715042,1637.0698067843914
50,25,2.0,2.0,90.0,0.9,0.1,145.25914472989737,58.07676416211724,145.25914473022758,223.6005564989368,69.22430395134606,113.3367185064727,711.81129934825,762.9039394259453,70.11479850485921,11.91853723116219,0.03026963397860527,2.096274733543396,1558.8764665294439
50,26,2.0,2.0,5.0,0.01,0.09,227.8877512926313,227.01852278079517,226.5915704274668,229.0874680547573,227.10857737965796,323.69420908392794,764.913042427972,783.6836670152843,59.00783463567495,15.953583341091871,0.1383086610585451,5.601269230246544,1629.3044295031577
50,27,2.0,2.0,0.01,0.01,0.05,64.20039847393602,63.44269448231155,370.8213933492125,215.11665189338393,786.1364222578939,139.82576188188253,755.5261188242584,779.7592619471252,63.55635369569063,15.865862503647804,0.09810861013829708,5.946102354675531,1620.7604218795896
50,28,3.0,3.0,90.0,90.0,90.0,160.6391894952555,160.63918951361458,125.95408379313328,252.14669744968842,223.35060598769178,125.03976715746373,732.3718391396105,781.4137403238565,77.41222194582224,12.265734780579805,0.029259314760565758,5.090413561090827,1608.5842445436865
50,29,2.0,2.0,90.0,90.0,90.0,112.87424130348664,112.87424133178797,77.09975055413219,269.5143097695137,364.2328226504906,26.98794219920026,785.5343408770859,736.6135800499469,63.57319757901132,13.708619497716427,0.029920952394604683,4.295791767537594,1603.7656998038292
50,30,2.0,2.0,1.0,0.1,0.5,157.0389403491746,161.45847978845012,185.7775031887223,225.91426769091606,198.49831991370945,158.70219454918342,808.3928303997964,736.9030696190894,54.125642394647,20.28771853260696,0.05396505258977413,4.108087779954076,1623.8729713652283
50,31,2.0,2.0,50.0,50.0,50.0,275.3065895078769,280.0781421221293,215.8912832434559,258.9989759158112,488.0126426121504,264.0064539759754,781.7459343653172,766.5835606884211,56.90407694503665,18.185788791626692,0.039444589987397194,4.463660154491663,1627.9281185157597
50,32,2.0,2.0,0.01,5.0,90.0,210.72287585648343,201.9201662635907,224.63306797516378,179.25625632282595,171.65123920723244,260.38118603453876,766.0515074040741,769.4031400922686,69.0733111128211,16.776672096922994,0.0737719964236021,2.9193022195249796,1624.3031343724579
50,33,2.0,2.0,0.01,0.5,0.05,59.74766080860399,59.94664337457833,101.09106891834851,293.50295016208753,128.90624381809556,129.0798824724068,780.1135432943702,775.8917131237686,55.401261484250426,13.209793217480183,0.05936850234866142,3.8708568084985018,1628.5481385663152
50,34,2.0,2.0,90.0,90.0,90.0,126.03319046811723,127.58104155628482,138.0689079166051,119.45306154885877,691.755256560668,209.44129870701371,718.564310207963,721.3052815068513,80.7335369642824,16.166098028421402,0.10069187730550766,6.14462517760694,1543.0206080786884
50,35,2.0,2.0,0.01,0.05,90.0,178.8833664063305,178.59713608568637,275.48572316390323,227.1995718344377,198.40585037953318,243.39386076867842,744.9352930691093,744.4778238758445,78.3211117144674,16.022135442122817,0.02880469150841236,4.836661944165826,1588.6224301718175
50,36,2.0,2.0,1.0,0.9,50.0,94.12317146085924,99.0144358838833,122.99155914433352,168.8516076748446,666.7439406359904,131.1922838914025,773.2977573685348,774.0448955129832,64.44971369206905,14.333697417750955,0.04358464665710926,6.141182534396648,1632.3113364838064
50,37,2.0,2.0,0.01,0.01,90.0,25.66003924849677,27.738100187079507,116.51092309420615,293.66550084822074,116.5109230942066,61.11251992648201,776.1301371473819,745.0772767849267,69.80574891902506,14.261094169691205,0.029986973851919174,3.748676624149084,1609.0552692804486
50,38,2.0,2.0,1.0,0.1,90.0,146.10131917663708,141.06572666208783,232.13758751997543,224.45846169234377,235.89074143610338,228.470878688911,773.9701856896281,808.4502649288625,34.937519777566195,12.705656224861741,0.031016821041703224,3.436028189957142,1633.5319452490658
50,39,2.0,2.0,50.0,0.09,50.0,115.80804168616798,31.118977908322154,63.8325489676541,248.72674655003127,311.69739326929295,74.286325953879,787.4189661964774,774.3403780441731,52.67356483452022,13.562672009691596,0.029274797067046165,3.4521694108843803,1631.4796497002244
50,40,1.0,1.0,0.01,1.0,50.0,116.28366856656561,149.38793657720979,198.01966203569577,218.55974594219475,199.93227001065034,182.44798274868745,759.0280396547168,772.6471609715372,75.15494554117322,18.97188767977059,0.027066493406891823,3.2124773785471916,1629.0718788150698
50,41,2.0,2.0,0.01,0.1,90.0,266.9203302219139,265.8920045565783,335.11230345786197,314.7379944905884,439.1463648039145,311.12625494624865,796.3292416594923,787.0577749349177,29.867207864299417,18.55468845181167,0.09427067451179028,5.768769411370158,1637.682829061523
50,42,2.0,2.0,0.01,0.1,0.05,66.48486204511332,61.722521272639156,118.6000526453545,227.9117047709039,150.39906246620745,135.30364544350238,797.325007552281,800.5354533307254,24.671784590929747,16.05048061348498,0.03088303841650486,3.1001098435372114,1641.71581540443
50,43,2.0,2.0,9.0,5.0,90.0,202.40809856028594,220.25259779417212,143.00393839759522,117.68535547932699,404.49029101213614,189.96324410085205,754.8772814553231,783.4166270084679,63.009311558678746,11.249668195843697,0.02676340378820896,3.2095325645059347,1615.7897721175104
50,44,2.0,2.0,10.0,9.0,90.0,143.92272805342472,139.5037028279754,261.27901224817,215.28023837914108,57.40931685423354,304.6802126149435,749.8887408655137,769.7145225815475,78.65726587921381,19.071779496967793,0.10981667600572109,4.736057108268142,1622.1973460689187
50,45,2.0,2.0,90.0,90.0,0.01,207.44962460653235,207.44962480804347,234.9425557372002,220.05817232737937,368.3228197589507,143.51996782695142,747.7172026466578,795.9900815598667,58.60811166279018,16.020858217030764,0.028970470651984215,3.817351207137108,1622.1927511654794
50,46,2.0,2.0,10.0,50.0,50.0,132.41669820307877,205.7605705132066,162.05377804067942,233.73755064413385,245.20155613750785,167.03026247719018,763.1148567963392,767.905808204785,66.81980499997735,13.742020834237337,0.029013020917773247,5.783094124868512,1617.4099936392158
50,47,2.0,2.0,10.0,10.0,90.0,72.70682017666903,317.95803367840716,84.84950234603119,286.80131400694853,474.337618339352,83.10066199626935,736.6589803397655,754.7769370246679,86.02623860351741,17.75187082402408,0.029180634766817093,4.602044492959976,1599.845987053588
50,48,2.0,2.0,90.0,90.0,90.0,314.317465177117,306.0354436069854,270.1854165582988,238.16691753678668,170.61161020912493,297.88416688506743,754.306148391217,734.1538692396134,69.45063331536949,16.93206021003425,0.06924472004175186,5.457636784762144,1580.3797856327146
50,49,2.0,2.0,0.01,0.1,50.0,243.20317208988868,244.22860527254232,268.6150115698178,261.2791095972345,282.17791822504404,243.6173638355729,745.3382828217,820.3746587857604,52.06047895178199,12.633177280426025,0.06886609271168709,4.345800496637821,1634.8223697394133
50,AVG,1.96,1.96,24.004,19.696800000000003,50.483599999999996,160.4064195196298,159.4484510194285,192.0643235072369,234.93091959276768,281.93368154380414,168.36207776245672,771.118113570027,770.8724844309315,59.31575435098261,15.25695468813181,0.05509399380534887,4.318904558345675,1620.9431142385677
