Date,Ticker,Action
1996-01-02,TMK,add
1996-01-02,TNB-20,add
1996-01-02,TOY-20,add
1996-01-02,TRB-20,add
1996-01-02,TRV,add
1996-01-02,TRW-20,add
1996-01-02,TWX-20,add
1996-01-02,TX-20,add
1996-01-02,TXN,add
1996-01-02,TXT,add
1996-01-02,TXU-20,add
1996-01-02,UAWGQ-20,add
1996-01-02,UCC-19,add
1996-01-02,UCL-20,add
1996-01-02,UCM-20,add
1996-01-02,UIS,add
1996-01-02,UK-20,add
1996-01-02,UMG-20,add
1996-01-02,UN,add
1996-01-02,UNH,add
1996-01-02,UNM,add
1996-01-02,UNP,add
1996-01-02,USB-20,add
1996-01-02,USBC-19,add
1996-01-02,USH-19,add
1996-01-02,USHC-19,add
1996-01-02,USS-19,add
1996-01-02,UST-20,add
1996-01-02,USW-20,add
1996-01-02,UTX,add
1996-01-02,VAT-19,add
1996-01-02,VFC,add
1996-01-02,VO-20,add
1996-01-02,VZ,add
1996-01-02,WAI-19,add
1996-01-02,WB-20,add
1996-01-02,WBA,add
1996-01-02,WEN-20,add
1996-01-02,WFC,add
1996-01-02,WFC-19,add
1996-01-02,WHR,add
1996-01-02,WLA-20,add
1996-01-02,WLL-20,add
1996-01-02,WMB,add
1996-01-02,WMT,add
1996-01-02,WMX-19,add
1996-01-02,WNDXQ-20,add
1996-01-02,WOR,add
1996-01-02,WWY-20,add
1996-01-02,WY,add
1996-01-02,WYE-20,add
1996-01-02,X,add
1996-01-02,XEL,add
1996-01-02,XOM,add
1996-01-02,XRX,add
1996-01-02,YRCW,add
1996-01-22,CSE-19,add
1996-01-22,BCO,remove
1996-02-12,BAY-19,add
1996-02-12,CCB-19,remove
1996-03-08,FITB,add
1996-03-08,HDLM-20,remove
1996-03-13,GNT-19,add
1996-03-13,FBO-19,remove
1996-03-28,EMC-20,add
1996-03-28,CYR-19,remove
1996-04-01,NLV-20,add
1996-04-01,WCOEQ-20,add
1996-04-01,CMB-19,remove
1996-04-01,I-19,remove
1996-04-23,AON,add
1996-04-23,LOR-19,remove
1996-05-31,TUP,add
1996-05-31,PMI-19,remove
1996-07-19,MTG,add
1996-07-19,USHC-19,remove
1996-07-22,BMGCA-20,add
1996-07-22,CAL,remove
1996-08-16,HFS-19,add
1996-08-16,SEG-20,add
1996-08-16,COV-20,remove
1996-09-06,DELL-20,add
1996-09-06,VAT-19,remove
1996-10-01,LU-20,add
1996-10-01,OM-19,remove
1996-10-16,UPR-20,add
1996-10-16,THY-19,remove
1996-11-04,RX-20,add
1996-11-04,YRCW,remove
1996-12-03,MBI,add
1996-12-03,CNW-20,remove
1996-12-19,GDT-20,add
1996-12-19,BLY-19,remove
1997-01-02,AZO,add
1997-01-02,FRO-19,add
1997-01-02,TMO,add
1997-01-02,LUB,remove
1997-01-02,RYAN-20,remove
1997-01-02,SHN-20,remove
1997-01-07,BOAT-19,remove
1997-01-08,EHC,add
1997-01-15,CNC-20,add
1997-01-15,AAL-19,remove
1997-04-01,PAC-19,remove
1997-04-03,PTC,add
1997-05-06,ADBE,add
1997-05-06,GLD-19,remove
1997-05-27,CAH,add
1997-05-27,CRR-19,remove
1997-06-02,SCHW,add
1997-06-02,DWD-19,remove
1997-06-11,PVN-20,add
1997-06-11,PVN-19,remove
1997-06-18,CFC-20,add
1997-06-18,USH-19,remove
1997-06-19,EFX,add
1997-06-19,PEL-19,remove
1997-07-02,WAMUQ-20,add
1997-07-02,GWF-19,remove
1997-07-17,SAI-19,add
1997-07-17,GIDL-19,remove
1997-07-28,APA,add
1997-07-28,APC,add
1997-07-28,INGR-20,remove
1997-07-28,SFS-20,remove
1997-08-01,MD-19,remove
1997-08-04,OI,add
1997-08-04,PGR,add
1997-08-04,USBC-19,remove
1997-08-06,HBAN,add
1997-08-06,ENS-19,remove
1997-08-07,MIR-20,add
1997-08-07,NAE-19,remove
1997-08-15,NYN-19,remove
1997-08-18,STT,add
1997-09-02,CCU-20,add
1997-09-02,TDM-19,remove
1997-09-15,KLAC,add
1997-09-15,AMH-19,remove
1997-10-07,YUM,add
1997-10-07,SRR-20,remove
1997-10-23,HBOC-19,add
1997-10-23,LLX-19,remove
1997-11-28,SB-19,remove
1997-12-01,SNV,add
1997-12-04,BBT,add
1997-12-04,BEV-20,remove
1997-12-18,CINF,add
1997-12-18,HFS-19,remove
1997-12-24,OMC,add
1997-12-24,FLMIQ-20,remove
1998-01-12,LEHMQ-20,add
1998-01-12,BBI-19,remove
1998-01-20,BIG,add
1998-01-20,ECO-20,remove
1998-01-28,SUB-20,add
1998-01-28,CBB-19,remove
1998-01-30,NTRS,add
1998-01-30,PAS-20,remove
1998-02-23,MTL-19,add
1998-02-23,ITT-19,remove
1998-03-24,GRA,add
1998-04-01,NXTL-20,add
1998-04-01,SEE,add
1998-04-01,GRA-19,remove
1998-04-01,JH-20,remove
1998-04-01,SK-19,remove
1998-04-08,AFS-A,add
1998-04-08,CHRS-20,remove
1998-04-27,GTW-20,add
1998-04-27,FG-19,remove
1998-04-28,CFL-19,remove
1998-04-29,BEN,add
1998-05-21,MAR,add
1998-06-12,ASND-19,add
1998-06-12,DEC-19,remove
1998-06-29,SRE,add
1998-06-29,PET-19,remove
1998-07-01,BSC-20,add
1998-07-01,COF,add
1998-07-01,SLM,add
1998-07-01,BNL-19,remove
1998-07-01,GNT-19,remove
1998-07-01,RYI-20,remove
1998-07-10,FMY-19,add
1998-07-10,ECH-19,remove
1998-07-16,DG-20,add
1998-07-16,GFS-A,remove
1998-07-17,WM,add
1998-07-17,WMX-19,remove
1998-08-11,EDS-20,add
1998-08-11,WAI-19,remove
1998-08-14,KSS,add
1998-08-14,MST-19,remove
1998-08-28,RF,add
1998-08-28,DIGI-19,remove
1998-08-31,PVT-19,add
1998-08-31,BAY-19,remove
1998-09-15,MCIC-19,remove
1998-09-16,NGH-20,add
1998-09-28,HCR-20,add
1998-09-28,MNR-19,remove
1998-09-30,DI-19,remove
1998-10-01,BMC-20,add
1998-10-01,PAYX,add
1998-10-01,UPC-20,add
1998-10-01,AHM-19,remove
1998-10-01,BAC-19,remove
1998-10-02,AES,add
1998-10-02,PSFT-20,add
1998-10-02,FCN-19,remove
1998-10-02,USS-19,remove
1998-10-07,SPLS-20,add
1998-10-07,GSX-19,remove
1998-10-08,CCE,add
1998-10-08,CCI-19,remove
1998-11-03,NCE-20,add
1998-11-03,WFC-19,remove
1998-11-13,SWY-20,add
1998-11-13,C-19,remove
1998-11-18,DHR,add
1998-11-18,STO-19,remove
1998-11-24,PCS-20,add
1998-11-24,AS-19,remove
1998-12-22,CCL,add
1998-12-22,GRN-19,remove
1998-12-31,SLR-20,add
1998-12-31,PZE-19,remove
1999-01-04,CPWR-20,add
1999-01-04,USB,add
1999-01-04,AN-19,remove
1999-01-04,FL,remove
1999-01-04,SAI-19,remove
1999-01-13,MCK,add
1999-01-13,HBOC-19,remove
1999-03-01,SOTR-20,add
1999-03-01,ORX-19,remove
1999-03-10,ASO-20,add
1999-03-10,TCOMA-19,remove
1999-03-25,CTL,add
1999-03-25,RBD-19,remove
1999-04-05,KSU,add
1999-04-05,AMP-19,remove
1999-04-12,AGN,add
1999-04-12,ANV-19,remove
1999-05-03,CMS,add
1999-05-03,UCC-19,remove
1999-05-28,AFL,add
1999-05-28,DPHIQ-20,add
1999-05-28,FMY-19,remove
1999-05-28,MWI-20,remove
1999-06-04,PWJ-20,add
1999-06-04,BT-19,remove
1999-06-09,WLP-20,add
1999-06-09,HPH-19,remove
1999-06-22,FPC-20,add
1999-06-22,MII-19,remove
1999-06-24,ODP,add
1999-06-24,ASC-19,remove
1999-06-25,NTAP,add
1999-06-25,ASND-19,remove
1999-06-30,BBY,add
1999-06-30,ATI-19,remove
1999-07-01,VMC,add
1999-07-01,PVT-19,remove
1999-07-22,QCOM,add
1999-07-22,TA-19,remove
1999-08-02,ADCT-20,add
1999-08-02,AW-20,add
1999-08-02,BFI-19,remove
1999-08-02,NLC-19,remove
1999-08-09,COC-B,add
1999-08-09,BMGCA-20,remove
1999-08-13,LXK-20,add
1999-08-13,RYC-19,remove
1999-09-20,TOS-20,add
1999-09-20,MTL-19,remove
1999-09-29,GX-20,add
1999-09-29,FRO-19,remove
1999-10-01,BBBY,add
1999-10-01,SXCL-20,add
1999-10-01,BKB-19,remove
1999-10-01,FTL-A,remove
1999-10-04,PNW,add
1999-10-04,PHB-19,remove
1999-10-11,AIT-19,remove
1999-10-12,ADI,add
1999-10-13,TROW,add
1999-10-13,DGN-19,remove
1999-10-18,LEG,add
1999-10-18,CYM-19,remove
1999-10-26,EP-20,add
1999-10-26,SNT-19,remove
1999-10-27,CMVT-20,add
1999-10-27,AR-19,remove
1999-11-05,PTV-20,add
1999-11-05,TEN,remove
1999-11-08,XLNX,add
1999-11-08,HRS,remove
1999-11-15,TER,add
1999-11-15,CSE-19,remove
1999-11-16,QTRN-20,add
1999-11-16,KWP-19,remove
1999-11-30,PPW-19,remove
1999-12-01,CTXS,add
1999-12-01,MOLX-20,add
1999-12-01,MOB-19,remove
1999-12-02,OK-20,add
1999-12-02,HON-19,remove
1999-12-08,AABA,add
1999-12-08,LDW-B,remove
1999-12-31,RIG,add
1999-12-31,HP,remove
2000-01-03,RNB-19,remove
2000-01-04,NCR,add
2000-01-06,YNR-20,add
2000-01-06,NLV-20,remove
2000-01-31,BGEN-20,add
2000-01-31,CNXT-20,add
2000-01-31,HOG,add
2000-01-31,CNG-20,remove
2000-01-31,FLTWQ-20,remove
2000-01-31,FWLT-20,remove
2000-03-16,TSG-20,add
2000-03-16,SCI,remove
2000-04-03,LLTC-20,add
2000-04-03,VRTS-20,add
2000-04-03,PBY-20,remove
2000-04-03,PNU-20,remove
2000-04-18,ALTR-20,add
2000-04-18,ARC-20,remove
2000-05-04,CBS-20,remove
2000-05-04,RLM-20,remove
2000-05-05,SAPE-20,add
2000-05-05,SEBL-20,add
2000-05-10,MXIM,add
2000-05-10,JOS-20,remove
2000-06-01,APCC-20,add
2000-06-01,MIR-20,remove
2000-06-05,A,add
2000-06-05,NC,remove
2000-06-08,SBUX,add
2000-06-08,SMS-20,remove
2000-06-13,CVG,add
2000-06-13,TMC-20,remove
2000-06-13,TMC-A,remove
2000-06-15,UMG-20,remove
2000-06-16,MEDI-20,add
2000-06-16,CSR-20,remove
2000-06-19,CF-20,add
2000-06-19,NVLS-20,add
2000-06-19,CHA-20,remove
2000-06-20,WLA-20,remove
2000-06-21,SANM,add
2000-06-21,TIF,add
2000-06-21,SGID-20,remove
2000-06-29,MERQ-20,add
2000-06-29,VSTNQ-20,add
2000-06-29,IKN-20,remove
2000-06-29,MZIAQ-20,remove
2000-07-03,BRCM-20,add
2000-07-03,GTE-20,remove
2000-07-03,USW-20,remove
2000-07-06,Q-20,add
2000-07-13,JNS-20,add
2000-07-13,KSU,remove
2000-07-17,CIT-A,add
2000-07-17,UPR-20,remove
2000-07-27,VIAV,add
2000-07-27,RAD,remove
2000-07-28,PALM-20,add
2000-07-28,COMS-20,remove
2000-08-21,KSE-20,add
2000-08-21,NCE-20,remove
2000-08-30,DVN,add
2000-08-30,GAPTQ-20,remove
2000-10-02,AV-20,add
2000-10-02,OWENQ-20,remove
2000-10-03,DYN-20,add
2000-10-03,KG-20,add
2000-10-03,BFO-20,remove
2000-10-03,YNR-20,remove
2000-10-18,NBR,add
2000-10-18,MKG-20,remove
2000-10-23,PWER-20,add
2000-10-23,UCM-20,remove
2000-11-02,EOG,add
2000-11-02,NI,add
2000-11-02,CG-20,remove
2000-11-02,EFU-20,remove
2000-11-06,BVSN,add
2000-11-06,PWJ-20,remove
2000-11-17,HOT-20,add
2000-11-17,ACKH-20,remove
2000-11-22,FRX-20,add
2000-11-22,SEG-20,remove
2000-11-24,CHIR-20,add
2000-11-24,FJ-20,remove
2000-12-01,CPNLQ-20,add
2000-12-01,AFS-A,remove
2000-12-01,FPC-20,remove
