Date,CL=F,^DJI,^GSPC,^TNX,^VIX
2015-07-08,52.33000183105469,17776.91015625,2081.340087890625,2.2309999465942383,16.09000015258789
2015-07-09,51.650001525878906,17515.419921875,2046.6800537109375,2.2060000896453857,19.65999984741211
2015-07-10,52.779998779296875,17548.619140625,2051.31005859375,2.3010001182556152,19.969999313354492
2015-07-13,52.7400016784668,17760.41015625,2076.6201171875,2.4170000553131104,16.829999923706055
2015-07-14,52.20000076293945,17977.6796875,2099.60009765625,2.430000066757202,13.899999618530273
2015-07-15,53.040000915527344,18053.580078125,2108.949951171875,2.3989999294281006,13.369999885559082
2015-07-16,51.40999984741211,18050.169921875,2107.39990234375,2.3499999046325684,13.229999542236328
2015-07-17,50.90999984741211,18120.25,2124.2900390625,2.3519999980926514,12.109999656677246
2015-07-20,50.88999938964844,18086.44921875,2126.639892578125,2.3489999771118164,11.949999809265137
2015-07-21,50.150001525878906,18100.41015625,2128.280029296875,2.371999979019165,12.25
2015-07-22,50.36000061035156,17919.2890625,2119.2099609375,2.3399999141693115,12.220000267028809
2015-07-23,49.189998626708984,17851.0390625,2114.14990234375,2.322000026702881,12.119999885559082
2015-07-24,48.45000076293945,17731.919921875,2102.14990234375,2.2769999504089355,12.640000343322754
2015-07-27,48.13999938964844,17568.529296875,2079.64990234375,2.2709999084472656,13.739999771118164
2015-07-28,47.38999938964844,17440.58984375,2067.639892578125,2.2279999256134033,15.600000381469727
2015-07-29,47.97999954223633,17630.26953125,2093.25,2.25,13.4399995803833
2015-07-30,48.790000915527344,17751.390625,2108.570068359375,2.2790000438690186,12.5
2015-07-31,48.52000045776367,17745.98046875,2108.6298828125,2.2679998874664307,12.130000114440918
2015-08-03,47.119998931884766,17689.859375,2103.840087890625,2.2049999237060547,12.119999885559082
2015-08-04,45.16999816894531,17598.19921875,2098.0400390625,2.1500000953674316,12.5600004196167
2015-08-05,45.7400016784668,17550.689453125,2093.320068359375,2.2109999656677246,13.0
2015-08-06,45.150001525878906,17540.470703125,2099.840087890625,2.2679998874664307,12.510000228881836
2015-08-07,44.65999984741211,17419.75,2083.56005859375,2.2339999675750732,13.770000457763672
2015-08-10,43.869998931884766,17373.380859375,2077.570068359375,2.174999952316284,13.390000343322754
2015-08-11,44.959999084472656,17615.169921875,2104.179931640625,2.23799991607666,12.229999542236328
2015-08-12,43.08000183105469,17402.83984375,2084.070068359375,2.13700008392334,13.710000038146973
