Trial,K_NF_GMM,K_nonNF_GMM,eps_NF_GMM,eps_nonNF_GMM,eps_kannan,loss_NF_GMM,loss_nonNF_GMM,loss_kannan,loss_nw
54,3.0,1.0,1.0,0.05,0.01,125.43767234958831,150.86849441212766,125.7479111356331,235.9478908039353
55,1.0,3.0,0.05,1.0,0.1,93.10949209051606,114.47260837003397,192.913152966915,189.3911294100029
56,3.0,1.0,0.1,0.1,0.05,101.68335520514604,151.25804218228512,130.8827329505707,225.3728955804959
57,1.0,3.0,0.1,0.5,0.5,193.22007595656,259.6848182385853,277.4100997737148,321.59481007354
58,1.0,3.0,0.01,1.0,0.01,151.7609091003225,151.94315367970225,190.8916204500713,257.72220916878575
59,1.0,1.0,0.01,0.01,0.5,427.9690023129418,165.11897250974562,470.28665276376364,257.79588058467823
60,1.0,3.0,0.05,0.5,0.1,80.73059403006943,85.74452286385878,105.10845586418785,196.4727485888152
61,3.0,1.0,1.0,0.05,0.01,132.32062462571918,139.57780148169056,156.78973734967644,248.18593867210004
62,1.0,3.0,0.1,0.05,0.05,70.29285564315714,80.92316475242492,106.07996960166905,169.7117105067826
63,1.0,3.0,0.05,0.01,0.01,127.56109474400593,123.13957986846876,187.03361353905484,229.24603092343054
64,3.0,3.0,0.01,0.1,0.01,103.12918588329433,107.62386733436529,129.55747816848884,197.6954206686388
65,1.0,1.0,0.1,0.01,1.0,158.86795680610194,162.55774029725833,476.51476362259353,257.5484212255076
66,1.0,3.0,0.5,0.5,0.01,138.98706180409837,153.57573333120118,366.12279707327724,242.26173992721786
67,3.0,1.0,0.01,1.0,0.05,143.66722790217648,153.789434502512,162.43440587732576,246.70549855405972
68,3.0,3.0,0.05,0.05,0.01,167.85331569573455,162.7634064833666,211.39575516374313,246.73741467491007
69,1.0,1.0,0.01,0.05,0.05,122.60174768149264,140.6955699883686,198.27064756567827,218.1248737235205
70,1.0,1.0,0.5,0.5,0.01,126.90097734751313,125.18877638060273,307.5615124645041,230.31471871868104
71,1.0,1.0,0.1,0.5,0.01,182.1665350653556,175.36831463083516,230.2908680203485,260.8689263255516
72,3.0,1.0,0.1,0.01,0.01,82.24563537553124,103.6863754582098,95.11903675011348,185.8463181520091
73,1.0,1.0,1.0,0.01,0.01,104.66131985230825,107.15603529718975,180.33911524212533,197.71517181348779
74,1.0,1.0,0.05,0.1,0.1,99.52858504181638,111.47536491419025,179.97169550365135,209.10655255188271
75,3.0,3.0,0.05,0.5,0.05,174.6905707219165,201.38888850542546,304.5159344285467,308.613463290175
76,1.0,1.0,0.1,0.5,0.1,134.0666556530522,144.9369849530534,260.58899997243645,238.36636254596155
77,1.0,1.0,0.01,0.01,0.05,194.66593976198487,218.40809493699587,288.81001870319704,302.1822982512989
78,1.0,2.0,0.01,0.01,1.0,139.3658560979134,147.10281283549145,181.30147444964388,246.95647267803324
79,1.0,1.0,0.05,0.05,0.05,109.26003835038316,135.24614947383643,215.49847870905012,200.66169137818693
80,1.0,3.0,1.0,0.1,0.1,107.2270252484526,127.970705895335,129.4003713705035,214.70518821922474
81,1.0,1.0,1.0,0.5,0.01,150.4252336217573,171.0063704216031,154.95324142669423,249.94656258994956
82,1.0,1.0,0.5,0.05,0.01,137.47107117515188,138.1313194923088,155.8733451250563,235.70140469088489
83,3.0,3.0,0.1,0.1,0.01,125.75593984412711,164.41230591773086,181.59644722437565,242.6717945791149
84,1.0,1.0,0.1,1.0,0.05,118.81609591999626,119.43997224037945,133.73035531872213,217.87143015430405
85,1.0,1.0,0.01,0.1,0.05,92.36867808105995,93.16991453819753,113.37904396671429,196.3755929824026
86,1.0,3.0,0.1,1.0,0.5,160.81287207968109,204.9096829818738,193.27096426474117,265.3695465988261
87,3.0,1.0,0.5,0.1,0.01,150.36282325001883,151.3828396813466,246.2275228349152,244.00980261427745
88,1.0,3.0,0.01,0.5,0.01,122.21865714484763,125.04464588717308,182.1681560963138,236.21256758448177
89,1.0,3.0,0.1,0.05,0.05,111.38662523651399,110.0387592339766,306.8924631448386,207.96312693149784
90,3.0,3.0,0.05,0.01,0.05,153.93740447589886,148.04141155125666,228.4790920784339,251.82689017922044
91,1.0,3.0,1.0,0.1,0.05,123.08267379229186,139.00514062339522,172.8470510284228,226.31648129249095
92,1.0,3.0,0.1,0.05,0.1,156.4764236642808,158.27563445884763,240.31223496750192,275.85219731490287
93,3.0,1.0,0.05,0.5,0.05,134.2456289725866,163.56842460587862,141.6823032891026,233.08836679757786
94,3.0,3.0,0.5,0.5,0.05,508.7224954468248,124.56835349394595,232.83117398659348,211.3127569648968
95,3.0,2.0,0.01,0.05,0.01,166.1438131095426,186.7756863782841,163.7172587669804,274.0938220585138
96,3.0,3.0,0.05,0.01,0.01,132.8272116996244,138.69936161089268,227.724631450163,237.18379689138618
97,1.0,1.0,1.0,1.0,0.05,159.0558833268725,176.08688878918863,175.63846116409667,265.63725524566496
98,3.0,1.0,1.0,1.0,0.01,104.63320257959899,112.6873258285507,137.84728370470867,222.97838142798142
99,1.0,3.0,0.1,0.1,0.05,95.5644084966636,93.42164023001168,90.23784534989073,201.82201422010905
AVG,1.86,1.94,0.2986,0.3079,0.14379999999999998,140.70599996225815,143.36519644833018,196.8751709543212,233.4644668558939
